Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
Star Wars,1977,121 min.,George Lucas,Mark Hamill,Harrison Ford,Action
The Empire Strikes Back,1980,127 min.,Irvin Kershner,Mark Hamill,Harrison Ford,Action
The Godfather,1972,175 min.,Francis Ford Coppola,Marlon Brando,Al Pacino,Based-on-20th-Century-Literature
Raiders of the Lost Ark,1981,115 min.,Steven Spielberg,Harrison Ford,Paul Freeman,Action
The Shawshank Redemption,1994,142 min.,Frank Darabont,Tim Robbins,Morgan Freeman,Based-on-20th-Century-Literature
Pulp Fiction,1994,154 min.,Quentin Tarantino,John Travolta,Samuel L. Jackson,Black Comedy
Return of the Jedi,1983,134 min.,Richard Marquand,Mark Hamill,Harrison Ford,Action
Back to the Future,1985,116 min.,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Adventure Comedy
Ikiru,1952,143 min.,Akira Kurosawa,Takashi Shimura,Shin'ichi Himori,Based-on-19th-Century-Literature
The Godfather Part II,1974,200 min.,Francis Ford Coppola,Al Pacino,Robert Duvall,Based-on-20th-Century-Literature
Harakiri,1962,133 min.,Masaki Kobayashi,Tatsuya Nakadai,Rentaro Mikuni,Based-on-20th-Century-Literature
The Dark Knight,2008,152 min.,Christopher Nolan,Christian Bale,Heath Ledger,Action Thriller
Fight Club,1999,139 min.,David Fincher,Brad Pitt,Edward Norton,Based-on-20th-Century-Literature
GoodFellas,1990,145 min.,Martin Scorsese,Robert De Niro,Ray Liotta,Based-on-20th-Century-Literature
Rear Window,1954,112 min.,Alfred Hitchcock,James Stewart,Grace Kelly,Based-on-20th-Century-Literature
High and Low,1963,142 min.,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Based-on-20th-Century-Literature
City Lights,1931,87 min.,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Comedy Drama
Alien,1979,117 min.,Ridley Scott,Tom Skerritt,Sigourney Weaver,Body Horror
The Silence of the Lambs,1991,118 min.,Jonathan Demme,Jodie Foster,Scott Glenn,Based-on-20th-Century-Literature
